status,date,year,location,title,slug,folder_name,folder_path,notes
pending_verification_folder,,,,,,Australia-NZ-Canada-HK Immigration Seminar - 17 March 2013_,public/images/events/unused-images/pending-verification/Australia-NZ-Canada-HK Immigration Seminar - 17 March 2013_,"Real event photos found, but exact event mapping still needs verification"
pending_verification_folder,,,,,,EXPRESS ENTRY VISA-SEMINAR 2015_,public/images/events/unused-images/pending-verification/EXPRESS ENTRY VISA-SEMINAR 2015_,"Real event photos found, but exact event mapping still needs verification"
pending_verification_folder,,,,,,IREX EVENT DELHI 2025,public/images/events/unused-images/pending-verification/IREX EVENT DELHI 2025,"Real event photos found, but exact event mapping still needs verification"
pending_verification_folder,,,,,,Immigration Seminar- 28 September 2013  ·,public/images/events/unused-images/pending-verification/Immigration Seminar- 28 September 2013  ·,"Real event photos found, but exact event mapping still needs verification"
pending_verification_folder,,,,,,ROAD TO CANADA-IMMIGRATION SEMINAR - 14 May 2014_,public/images/events/unused-images/pending-verification/ROAD TO CANADA-IMMIGRATION SEMINAR - 14 May 2014_,"Real event photos found, but exact event mapping still needs verification"
stock_or_unmatched_folder,,,,,,2022-07-03,public/images/events/unused-images/stock-or-unmatched/2022-07-03,Not safe to map to a real event yet
duplicate_folder,,,,,,2018-03-19,public/images/events/duplicates/2018-03-19,Duplicate of an already-used event folder
duplicate_folder,,,,,,Bangalore Seminar March 2018,public/images/events/duplicates/Bangalore Seminar March 2018,Duplicate of an already-used event folder
duplicate_folder,,,,,,Bengaluru Seminar - 20 September _ 2018,public/images/events/duplicates/Bengaluru Seminar - 20 September _ 2018,Duplicate of an already-used event folder
duplicate_folder,,,,,,Dubai Seminar-2018,public/images/events/duplicates/Dubai Seminar-2018,Duplicate of an already-used event folder
duplicate_folder,,,,,,Mumbai-seminar- Images 2018,public/images/events/duplicates/Mumbai-seminar- Images 2018,Duplicate of an already-used event folder
duplicate_folder,,,,,,Pune Seminar-2018,public/images/events/duplicates/Pune Seminar-2018,Duplicate of an already-used event folder
duplicate_folder,,,,,,root-export-copies,public/images/events/duplicates/root-export-copies,Loose root export copies moved here
